Plant_ID,Production_Date,Shift,Planned_Units,Units_Produced,Defective_Units,Defect_Type,Supplier_ID,Raw_Material,Lead_Time_Days,Downtime_Minutes,Downtime_Reason,Inventory_Level,Reorder_Level,Production_Cost_Per_Unit,Delivery_Delay_Days,Defect_Rate,Production_Efficiency,Inventory_Status
R_Pune,03-09-2024,A,244,234,14,No Defect,ZF,Body_Parts,2,40,Machine_Failure,670,396,57593.32,2,5.98,95.9,Optimal
R_Aurangabad,28-07-2024,A,221,218,14,No Defect,Bosch,Engine_Parts,7,51,Maintenance,967,330,46427.18,3,6.42,98.64,Optimal
R_Pune,25-08-2024,C,233,209,12,Welding,Valeo,Body_Parts,4,76,Power_Failure,406,502,68256.1,4,5.74,89.7,Below Reorder
R_Chakan,12-06-2024,A,194,192,7,No Defect,Valeo,Engine_Parts,9,31,Maintenance,570,407,66657.12,0,3.65,98.97,Optimal
R_Aurangabad,17-09-2024,C,243,205,5,Welding,Mahindra_Suppliers,Engine_Parts,13,55,Machine_Failure,1177,437,60493.72,0,2.44,84.36,Optimal
R_Chakan,13-04-2024,A,205,199,4,Painting,Continental,Gearbox,13,154,Machine_Failure,1043,444,60930.9,1,2.01,97.07,Optimal
R_Chakan,02-01-2024,C,232,202,9,Electrical,Continental,Engine_Parts,15,25,Power_Failure,334,353,64175.56,3,4.46,87.07,Below Reorder
R_Pune,11-10-2024,A,198,178,0,No Defect,ZF,Gearbox,6,133,Power_Failure,658,587,54049.97,1,0.0,89.9,Optimal
R_Pune,02-06-2024,B,218,203,7,Electrical,Bosch,Gearbox,12,36,Maintenance,316,433,64737.2,0,3.45,93.12,Below Reorder
R_Chakan,13-01-2024,B,193,155,14,Assembly,ZF,Engine_Parts,14,21,Machine_Failure,1169,488,55114.58,1,9.03,80.31,Optimal
R_Aurangabad,04-06-2024,B,252,251,6,No Defect,Bosch,Engine_Parts,8,25,Material_Shortage,840,535,78445.14,3,2.39,99.6,Optimal
R_Chakan,23-09-2024,C,252,219,6,Electrical,Mahindra_Suppliers,Engine_Parts,8,127,Maintenance,482,590,65525.73,5,2.74,86.9,Below Reorder
R_Chakan,15-06-2024,C,248,227,9,Electrical,Valeo,Gearbox,2,105,Power_Failure,420,462,47931.85,0,3.96,91.53,Below Reorder
R_Chakan,12-10-2024,C,214,200,12,No Defect,Bosch,Gearbox,5,148,Power_Failure,488,431,74191.09,4,6.0,93.46,Optimal
R_Pune,17-03-2024,C,212,190,13,Painting,Valeo,Body_Parts,13,152,Power_Failure,315,529,69344.27,5,6.84,89.62,Below Reorder
R_Aurangabad,22-02-2024,C,240,223,0,Assembly,ZF,Body_Parts,10,5,Power_Failure,880,496,57184.13,5,0.0,92.92,Optimal
R_Aurangabad,21-04-2024,C,236,231,1,No Defect,Bosch,Electronics,11,5,Machine_Failure,766,311,45248.46,3,0.43,97.88,Optimal
R_Chakan,28-09-2024,A,247,231,1,Assembly,ZF,Electronics,3,103,Power_Failure,638,515,46412.85,1,0.43,93.52,Optimal
R_Pune,10-10-2024,A,220,212,1,Painting,Bosch,Electronics,3,49,Material_Shortage,236,318,63525.5,0,0.47,96.36,Below Reorder
R_Pune,04-01-2024,A,247,207,3,Assembly,Continental,Body_Parts,9,30,Material_Shortage,242,554,49221.01,3,1.45,83.81,Below Reorder
R_Pune,25-04-2024,B,229,218,9,Assembly,Mahindra_Suppliers,Electronics,10,34,Machine_Failure,862,579,54027.97,1,4.13,95.2,Optimal
R_Pune,18-08-2024,C,183,154,10,Painting,Mahindra_Suppliers,Body_Parts,15,24,Material_Shortage,745,388,57921.97,2,6.49,84.15,Optimal
R_Chakan,16-10-2024,C,213,211,2,Electrical,Valeo,Body_Parts,15,66,Maintenance,991,513,52668.74,0,0.95,99.06,Optimal
R_Chakan,22-09-2024,A,219,195,7,Painting,ZF,Electronics,7,138,Material_Shortage,1075,590,76298.45,1,3.59,89.04,Optimal
R_Pune,27-08-2024,B,194,155,4,Assembly,ZF,Body_Parts,13,145,Material_Shortage,465,315,78148.78,3,2.58,79.9,Optimal
R_Aurangabad,04-05-2024,A,188,148,2,Painting,Valeo,Gearbox,10,164,Power_Failure,632,532,66433.04,5,1.35,78.72,Optimal
R_Pune,11-09-2024,B,242,221,10,Electrical,Bosch,Engine_Parts,3,52,Power_Failure,1129,404,61126.55,2,4.52,91.32,Optimal
R_Aurangabad,17-10-2024,C,257,238,11,Electrical,Mahindra_Suppliers,Body_Parts,6,116,Machine_Failure,348,479,63894.31,3,4.62,92.61,Below Reorder
R_Chakan,14-03-2024,C,243,243,7,Electrical,Valeo,Electronics,7,80,Maintenance,910,323,57793.93,1,2.88,100.0,Optimal
R_Chakan,11-10-2024,B,215,175,5,Painting,Continental,Engine_Parts,3,132,Material_Shortage,739,330,46298.73,4,2.86,81.4,Optimal
R_Chakan,17-07-2024,C,242,240,0,Electrical,Valeo,Body_Parts,7,172,Machine_Failure,640,349,70144.07,5,0.0,99.17,Optimal
R_Pune,18-03-2024,B,227,224,0,Assembly,Bosch,Electronics,3,110,Power_Failure,592,334,58389.63,4,0.0,98.68,Optimal
R_Pune,23-04-2024,C,233,225,12,Painting,Continental,Gearbox,14,6,Material_Shortage,1136,327,71421.69,0,5.33,96.57,Optimal
R_Aurangabad,25-06-2024,C,214,199,4,Welding,ZF,Body_Parts,10,45,Maintenance,441,387,63372.85,5,2.01,92.99,Optimal
R_Chakan,01-08-2024,C,240,228,15,Assembly,ZF,Body_Parts,14,102,Maintenance,954,422,69553.64,3,6.58,95.0,Optimal
R_Pune,21-10-2024,B,187,169,8,Assembly,ZF,Electronics,5,12,Material_Shortage,829,383,51391.53,4,4.73,90.37,Optimal
R_Pune,29-06-2024,B,246,233,4,No Defect,Valeo,Electronics,8,129,Machine_Failure,1045,540,55806.29,4,1.72,94.72,Optimal
R_Pune,17-03-2024,B,238,199,12,Welding,ZF,Electronics,6,119,Power_Failure,837,322,53718.9,2,6.03,83.61,Optimal
R_Aurangabad,22-05-2024,C,253,236,2,Assembly,ZF,Engine_Parts,4,129,Material_Shortage,770,435,57611.24,2,0.85,93.28,Optimal
R_Chakan,01-05-2024,C,253,246,13,No Defect,Bosch,Gearbox,10,155,Maintenance,1017,567,47764.7,1,5.28,97.23,Optimal
R_Aurangabad,21-07-2024,B,211,209,0,Painting,Valeo,Engine_Parts,2,73,Power_Failure,924,380,71761.73,1,0.0,99.05,Optimal
R_Aurangabad,22-08-2024,A,203,193,6,No Defect,Continental,Gearbox,13,177,Machine_Failure,408,329,76564.92,0,3.11,95.07,Optimal
R_Aurangabad,27-03-2024,C,245,231,7,Electrical,Bosch,Electronics,6,157,Maintenance,924,499,66894.1,0,3.03,94.29,Optimal
R_Chakan,07-05-2024,A,202,170,13,Painting,Continental,Body_Parts,13,162,Machine_Failure,1056,582,63522.48,5,7.65,84.16,Optimal
R_Aurangabad,26-03-2024,B,204,203,12,Welding,Mahindra_Suppliers,Gearbox,13,103,Maintenance,584,550,66016.2,1,5.91,99.51,Optimal
R_Chakan,10-10-2024,A,185,161,14,Painting,ZF,Gearbox,14,100,Power_Failure,1105,598,48823.97,5,8.7,87.03,Optimal
R_Aurangabad,03-05-2024,A,246,227,8,Assembly,Bosch,Electronics,4,48,Machine_Failure,349,475,52672.18,5,3.52,92.28,Below Reorder
R_Aurangabad,15-02-2024,C,219,214,2,Welding,Continental,Electronics,2,111,Machine_Failure,1004,532,77005.93,3,0.93,97.72,Optimal
R_Chakan,20-05-2024,A,236,202,2,Electrical,Valeo,Engine_Parts,8,22,Power_Failure,1096,472,73992.19,0,0.99,85.59,Optimal
R_Chakan,13-04-2024,A,249,231,8,Welding,Continental,Gearbox,4,106,Material_Shortage,1010,498,60136.98,3,3.46,92.77,Optimal
R_Pune,05-09-2024,C,219,219,10,Welding,Mahindra_Suppliers,Body_Parts,6,59,Material_Shortage,984,558,76694.07,2,4.57,100.0,Optimal
R_Pune,11-01-2024,B,190,168,2,Assembly,ZF,Engine_Parts,9,158,Material_Shortage,489,556,70138.19,0,1.19,88.42,Below Reorder
R_Pune,12-07-2024,A,231,230,1,Electrical,ZF,Engine_Parts,4,3,Machine_Failure,553,582,54519.55,4,0.43,99.57,Below Reorder
R_Pune,05-10-2024,B,209,192,10,Assembly,Mahindra_Suppliers,Electronics,4,78,Power_Failure,397,348,45164.7,3,5.21,91.87,Optimal
R_Aurangabad,08-08-2024,B,249,218,12,Electrical,Valeo,Gearbox,15,105,Power_Failure,223,546,50088.94,4,5.5,87.55,Below Reorder
R_Pune,09-07-2024,A,195,186,11,Welding,Continental,Body_Parts,10,81,Maintenance,234,460,64093.45,2,5.91,95.38,Below Reorder
R_Chakan,08-09-2024,A,221,187,15,No Defect,Valeo,Gearbox,8,31,Maintenance,382,418,63442.3,0,8.02,84.62,Below Reorder
R_Pune,22-04-2024,C,209,194,6,Welding,Valeo,Body_Parts,9,159,Power_Failure,629,343,49722.69,2,3.09,92.82,Optimal
R_Chakan,17-08-2024,C,204,181,6,Assembly,Mahindra_Suppliers,Engine_Parts,8,90,Machine_Failure,275,481,46270.92,3,3.31,88.73,Below Reorder
R_Aurangabad,25-10-2024,B,235,221,3,Electrical,Mahindra_Suppliers,Electronics,3,151,Maintenance,726,374,68368.46,0,1.36,94.04,Optimal
R_Aurangabad,15-10-2024,B,204,184,12,Painting,ZF,Electronics,2,77,Material_Shortage,674,446,58555.56,4,6.52,90.2,Optimal
R_Chakan,08-02-2024,B,223,200,14,Assembly,Mahindra_Suppliers,Electronics,8,24,Machine_Failure,300,346,48340.63,3,7.0,89.69,Below Reorder
R_Aurangabad,18-01-2024,A,217,206,14,Welding,Valeo,Body_Parts,2,164,Maintenance,372,480,66691.33,5,6.8,94.93,Below Reorder
R_Aurangabad,06-07-2024,B,260,255,1,No Defect,Mahindra_Suppliers,Body_Parts,9,176,Maintenance,367,417,59880.12,0,0.39,98.08,Below Reorder
R_Pune,17-04-2024,B,190,188,14,Assembly,Bosch,Body_Parts,12,15,Material_Shortage,576,591,48004.49,5,7.45,98.95,Below Reorder
R_Pune,06-03-2024,B,207,206,12,No Defect,Bosch,Electronics,8,161,Maintenance,1092,337,49543.77,3,5.83,99.52,Optimal
R_Chakan,25-10-2024,A,204,190,3,Assembly,Valeo,Electronics,2,97,Maintenance,807,474,67362.27,2,1.58,93.14,Optimal
R_Aurangabad,14-08-2024,B,185,156,12,Welding,Mahindra_Suppliers,Body_Parts,13,74,Power_Failure,1131,478,67758.9,5,7.69,84.32,Optimal
R_Aurangabad,21-02-2024,B,238,237,12,Welding,Mahindra_Suppliers,Electronics,11,146,Machine_Failure,362,345,62108.02,3,5.06,99.58,Optimal
R_Pune,03-09-2024,C,197,159,15,Welding,ZF,Body_Parts,8,19,Machine_Failure,1094,437,61748.73,3,9.43,80.71,Optimal
R_Chakan,18-09-2024,B,227,226,1,Welding,ZF,Body_Parts,9,64,Power_Failure,314,517,64529.9,3,0.44,99.56,Below Reorder
R_Pune,14-05-2024,C,255,236,9,No Defect,Mahindra_Suppliers,Engine_Parts,9,153,Material_Shortage,1034,515,48204.83,1,3.81,92.55,Optimal
R_Aurangabad,12-05-2024,C,246,228,4,Welding,Bosch,Engine_Parts,2,18,Maintenance,368,484,78352.6,2,1.75,92.68,Below Reorder
R_Pune,07-02-2024,B,181,168,5,No Defect,Continental,Engine_Parts,7,74,Power_Failure,559,410,54292.81,2,2.98,92.82,Optimal
R_Chakan,28-07-2024,A,223,205,15,No Defect,Continental,Engine_Parts,12,14,Maintenance,720,476,50757.12,3,7.32,91.93,Optimal
R_Aurangabad,04-01-2024,C,195,186,11,Welding,ZF,Body_Parts,8,169,Maintenance,650,473,45036.87,3,5.91,95.38,Optimal
R_Chakan,29-05-2024,C,250,215,4,Electrical,Bosch,Engine_Parts,9,4,Machine_Failure,721,315,48335.19,5,1.86,86.0,Optimal
R_Pune,07-03-2024,C,248,211,11,Electrical,ZF,Gearbox,14,176,Material_Shortage,643,511,48827.6,1,5.21,85.08,Optimal
R_Chakan,31-05-2024,A,235,220,4,Electrical,Continental,Gearbox,12,125,Machine_Failure,563,550,49630.96,4,1.82,93.62,Optimal
R_Pune,23-05-2024,C,235,208,2,Electrical,Continental,Body_Parts,12,159,Material_Shortage,807,399,47582.43,1,0.96,88.51,Optimal
R_Chakan,24-10-2024,B,238,208,15,No Defect,Bosch,Gearbox,15,164,Maintenance,368,519,70978.51,5,7.21,87.39,Below Reorder
R_Aurangabad,31-01-2024,B,223,219,13,Electrical,Bosch,Engine_Parts,4,110,Power_Failure,222,353,72840.68,4,5.94,98.21,Below Reorder
R_Pune,20-07-2024,C,184,155,15,Welding,Continental,Gearbox,2,96,Machine_Failure,710,392,66920.8,3,9.68,84.24,Optimal
R_Pune,20-03-2024,C,251,237,6,Electrical,Valeo,Gearbox,5,45,Machine_Failure,677,322,67006.52,5,2.53,94.42,Optimal
R_Pune,22-09-2024,A,193,179,15,Electrical,Continental,Engine_Parts,2,113,Maintenance,956,524,62069.09,1,8.38,92.75,Optimal
R_Aurangabad,22-01-2024,C,214,175,12,Painting,Continental,Gearbox,8,15,Machine_Failure,486,558,51324.7,3,6.86,81.78,Below Reorder
R_Aurangabad,28-02-2024,C,191,162,12,No Defect,Valeo,Electronics,9,134,Material_Shortage,258,337,46936.73,5,7.41,84.82,Below Reorder
R_Aurangabad,08-09-2024,B,207,176,4,Electrical,Bosch,Engine_Parts,13,62,Material_Shortage,877,303,54086.24,5,2.27,85.02,Optimal
R_Pune,02-10-2024,B,225,194,10,Assembly,Continental,Body_Parts,6,52,Maintenance,386,527,49643.82,2,5.15,86.22,Below Reorder
R_Chakan,13-02-2024,C,215,208,8,Electrical,Valeo,Gearbox,2,119,Material_Shortage,780,555,54280.17,2,3.85,96.74,Optimal
R_Chakan,16-03-2024,A,237,211,6,Electrical,Mahindra_Suppliers,Engine_Parts,15,95,Machine_Failure,544,538,79297.49,2,2.84,89.03,Optimal
R_Aurangabad,21-08-2024,C,226,216,0,Welding,Valeo,Body_Parts,12,161,Maintenance,617,378,65223.31,3,0.0,95.58,Optimal
R_Pune,06-06-2024,C,184,147,2,No Defect,Mahindra_Suppliers,Engine_Parts,12,40,Material_Shortage,499,333,48269.17,5,1.36,79.89,Optimal
R_Chakan,24-03-2024,A,217,188,2,Welding,Mahindra_Suppliers,Engine_Parts,12,39,Material_Shortage,210,332,61848.06,0,1.06,86.64,Below Reorder
R_Aurangabad,24-08-2024,A,187,166,6,Assembly,Mahindra_Suppliers,Electronics,6,137,Material_Shortage,1113,369,74873.34,4,3.61,88.77,Optimal
R_Pune,04-04-2024,A,215,203,12,Painting,Valeo,Body_Parts,5,109,Power_Failure,989,485,65655.14,1,5.91,94.42,Optimal
R_Chakan,24-06-2024,B,190,181,1,Electrical,Continental,Electronics,2,50,Maintenance,450,428,64151.81,0,0.55,95.26,Optimal
R_Chakan,03-04-2024,C,208,189,10,No Defect,Continental,Gearbox,3,157,Material_Shortage,442,426,52990.18,0,5.29,90.87,Optimal
R_Pune,03-09-2024,A,255,225,9,No Defect,Valeo,Engine_Parts,10,116,Power_Failure,597,362,79660.02,3,4.0,88.24,Optimal
R_Pune,15-10-2024,B,248,241,7,Welding,Valeo,Engine_Parts,8,46,Material_Shortage,1192,411,63577.11,1,2.9,97.18,Optimal
R_Pune,01-04-2024,A,188,158,0,Welding,Continental,Engine_Parts,14,82,Material_Shortage,862,533,46700.07,1,0.0,84.04,Optimal
R_Aurangabad,27-02-2024,A,208,199,1,Painting,Mahindra_Suppliers,Gearbox,11,115,Power_Failure,257,386,62434.04,5,0.5,95.67,Below Reorder
R_Aurangabad,20-03-2024,A,190,178,3,Welding,Valeo,Electronics,7,100,Maintenance,279,345,66455.58,2,1.69,93.68,Below Reorder
R_Pune,28-04-2024,A,211,209,2,Welding,Continental,Body_Parts,5,157,Maintenance,398,325,53945.46,3,0.96,99.05,Optimal
R_Aurangabad,05-07-2024,B,189,153,6,Painting,Valeo,Electronics,4,80,Machine_Failure,565,380,57544.49,0,3.92,80.95,Optimal
R_Pune,30-03-2024,C,225,193,14,Electrical,Continental,Electronics,6,102,Machine_Failure,916,312,77647.5,5,7.25,85.78,Optimal
R_Pune,07-07-2024,A,207,190,4,Painting,ZF,Engine_Parts,11,49,Power_Failure,772,385,75984.17,2,2.11,91.79,Optimal
R_Pune,14-07-2024,A,249,209,8,Assembly,Mahindra_Suppliers,Electronics,3,73,Power_Failure,755,429,58943.7,1,3.83,83.94,Optimal
R_Pune,06-03-2024,C,255,224,7,Electrical,Bosch,Engine_Parts,13,143,Power_Failure,201,441,49128.18,1,3.12,87.84,Below Reorder
R_Pune,22-06-2024,B,238,231,13,No Defect,Mahindra_Suppliers,Body_Parts,2,35,Power_Failure,849,573,51440.96,5,5.63,97.06,Optimal
R_Pune,15-05-2024,A,233,212,14,Welding,Continental,Engine_Parts,11,23,Power_Failure,773,416,66164.15,0,6.6,90.99,Optimal
R_Pune,05-01-2024,C,186,149,8,Electrical,Mahindra_Suppliers,Engine_Parts,7,57,Material_Shortage,614,344,45834.06,2,5.37,80.11,Optimal
R_Chakan,19-04-2024,B,229,220,0,Assembly,Bosch,Gearbox,11,176,Machine_Failure,640,480,63426.29,3,0.0,96.07,Optimal
R_Aurangabad,02-04-2024,A,200,200,6,Welding,Mahindra_Suppliers,Gearbox,8,130,Power_Failure,376,457,63465.79,3,3.0,100.0,Below Reorder
R_Aurangabad,28-08-2024,C,246,209,0,Assembly,ZF,Gearbox,4,80,Machine_Failure,920,457,52374.03,2,0.0,84.96,Optimal
R_Pune,16-09-2024,B,247,237,15,Painting,Mahindra_Suppliers,Body_Parts,8,157,Material_Shortage,433,580,51254.2,4,6.33,95.95,Below Reorder
R_Aurangabad,16-07-2024,A,192,165,0,Electrical,ZF,Body_Parts,4,129,Maintenance,270,541,57215.37,4,0.0,85.94,Below Reorder
R_Chakan,12-09-2024,A,260,250,10,Welding,Bosch,Electronics,11,75,Machine_Failure,548,394,64232.44,1,4.0,96.15,Optimal
R_Aurangabad,04-10-2024,B,251,225,15,Welding,Bosch,Electronics,3,79,Material_Shortage,909,306,62001.88,5,6.67,89.64,Optimal
R_Pune,12-08-2024,A,259,220,0,Electrical,Continental,Body_Parts,6,171,Machine_Failure,261,549,47335.23,0,0.0,84.94,Below Reorder
R_Chakan,24-10-2024,B,200,198,9,No Defect,Mahindra_Suppliers,Engine_Parts,14,21,Material_Shortage,797,543,65142.66,1,4.55,99.0,Optimal
R_Chakan,10-10-2024,C,235,228,14,Electrical,Valeo,Electronics,10,116,Material_Shortage,1096,379,75099.73,3,6.14,97.02,Optimal
R_Aurangabad,19-09-2024,B,191,159,1,Electrical,Mahindra_Suppliers,Gearbox,9,129,Maintenance,909,512,53783.15,4,0.63,83.25,Optimal
R_Pune,01-05-2024,B,187,171,13,Painting,ZF,Gearbox,11,128,Material_Shortage,1176,328,73270.79,0,7.6,91.44,Optimal
R_Pune,07-06-2024,C,188,172,15,Welding,Valeo,Gearbox,2,109,Material_Shortage,749,391,79752.72,0,8.72,91.49,Optimal
R_Pune,08-07-2024,A,248,222,0,Welding,Bosch,Body_Parts,5,73,Material_Shortage,871,354,61165.92,5,0.0,89.52,Optimal
R_Chakan,25-02-2024,A,251,251,1,Painting,Bosch,Engine_Parts,12,151,Machine_Failure,446,470,78877.68,0,0.4,100.0,Below Reorder
R_Aurangabad,10-01-2024,B,234,211,12,No Defect,Valeo,Gearbox,8,84,Maintenance,394,473,49838.97,5,5.69,90.17,Below Reorder
R_Aurangabad,05-10-2024,A,201,169,1,No Defect,Bosch,Gearbox,9,39,Machine_Failure,235,479,46539.18,1,0.59,84.08,Below Reorder
R_Chakan,28-03-2024,B,250,236,0,No Defect,Bosch,Electronics,9,165,Machine_Failure,367,322,75976.27,4,0.0,94.4,Optimal
R_Chakan,19-05-2024,B,245,209,8,Assembly,ZF,Gearbox,11,51,Material_Shortage,803,443,72048.43,1,3.83,85.31,Optimal
R_Chakan,25-05-2024,B,243,233,6,Painting,ZF,Electronics,10,130,Material_Shortage,908,538,67245.94,1,2.58,95.88,Optimal
R_Chakan,31-01-2024,B,184,155,6,Painting,ZF,Engine_Parts,2,99,Power_Failure,473,334,59341.98,3,3.87,84.24,Optimal
R_Chakan,13-02-2024,C,218,195,5,Welding,Mahindra_Suppliers,Engine_Parts,11,68,Material_Shortage,807,543,52264.59,0,2.56,89.45,Optimal
R_Pune,01-02-2024,A,184,148,9,Assembly,Mahindra_Suppliers,Body_Parts,6,139,Power_Failure,577,318,55943.89,4,6.08,80.43,Optimal
R_Aurangabad,11-07-2024,C,203,170,5,Painting,Valeo,Gearbox,11,58,Power_Failure,1047,386,76265.65,1,2.94,83.74,Optimal
R_Aurangabad,12-09-2024,A,226,188,3,Assembly,Continental,Body_Parts,5,36,Material_Shortage,501,594,70377.99,1,1.6,83.19,Below Reorder
R_Aurangabad,23-09-2024,B,259,238,5,Painting,Valeo,Body_Parts,8,68,Power_Failure,698,560,65588.28,2,2.1,91.89,Optimal
R_Aurangabad,19-06-2024,A,241,205,13,No Defect,Bosch,Electronics,14,72,Material_Shortage,544,337,47600.92,5,6.34,85.06,Optimal
R_Chakan,12-09-2024,B,249,241,5,No Defect,Bosch,Body_Parts,8,5,Maintenance,500,315,55142.5,4,2.07,96.79,Optimal
R_Pune,03-05-2024,A,205,171,10,Painting,Valeo,Gearbox,15,120,Power_Failure,204,415,57882.0,5,5.85,83.41,Below Reorder
R_Aurangabad,05-04-2024,A,192,163,6,Electrical,ZF,Engine_Parts,2,14,Material_Shortage,590,305,76835.49,3,3.68,84.9,Optimal
R_Chakan,06-09-2024,A,255,216,8,Painting,Valeo,Body_Parts,14,21,Maintenance,1019,319,75638.59,0,3.7,84.71,Optimal
R_Aurangabad,07-04-2024,C,214,187,9,Assembly,Valeo,Electronics,13,114,Material_Shortage,544,404,73450.17,1,4.81,87.38,Optimal
R_Chakan,27-08-2024,C,213,205,9,Assembly,Valeo,Electronics,10,81,Machine_Failure,1069,498,65278.54,4,4.39,96.24,Optimal
R_Aurangabad,18-01-2024,A,253,214,2,Assembly,Bosch,Body_Parts,7,129,Machine_Failure,360,578,79049.81,0,0.93,84.58,Below Reorder
